match_id,team_a_id,team_b_id,team_a_win_rate,team_b_win_rate,team_a_recent_win_rate,team_b_recent_win_rate,team_a_matches_played,team_b_matches_played,team_a_avg_acs,team_b_avg_acs,avg_acs_diff,team_a_recent_acs,team_b_recent_acs,recent_acs_diff,h2h_a_win_rate,win_rate_diff,recent_win_rate_diff,team_a_won
701025,13790,14137,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
701026,11981,12010,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
701027,11328,12685,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
701028,13576,731,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
701029,11981,14137,1.0,0.0,1.0,0.0,1,1,217.8,190.0,27.80000000000001,217.8,190.0,27.80000000000001,0.5,1.0,1.0,1
701030,12010,13790,0.0,1.0,0.0,1.0,1,1,181.0,217.1,-36.099999999999994,181.0,217.1,-36.099999999999994,0.5,-1.0,-1.0,1
701031,12064,11328,0.5,1.0,0.5,1.0,0,1,0.0,224.7,-224.7,0.0,224.7,-224.7,0.5,-0.5,-0.5,1
701032,731,12685,1.0,0.0,1.0,0.0,1,1,214.0,178.0,36.0,214.0,178.0,36.0,0.5,1.0,1.0,1
701036,13790,1119,0.5,0.5,0.5,0.5,2,0,206.08,0.0,206.08,206.08,0.0,206.08,0.5,0.0,0.0,0
701037,13581,14137,0.5,0.0,0.5,0.0,0,2,0.0,185.64,-185.64,0.0,185.64,-185.64,0.5,0.5,0.5,0
701038,13576,11328,0.0,0.5,0.0,0.5,1,2,165.6,196.3,-30.700000000000017,165.6,196.3,-30.700000000000017,0.5,-0.5,-0.5,0
701039,1120,731,0.5,1.0,0.5,1.0,0,2,0.0,226.55,-226.55,0.0,226.55,-226.55,0.5,-0.5,-0.5,0
712803,1184,4915,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
712804,474,6392,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
698884,17,5448,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
701040,1119,12010,1.0,0.5,1.0,0.5,1,2,224.9,194.52,30.379999999999995,224.9,194.52,30.379999999999995,0.5,0.5,0.5,0
698885,6199,11229,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
701041,13581,11981,0.0,1.0,0.0,1.0,1,2,200.06666666666666,214.16,-14.093333333333334,200.06666666666666,214.16,-14.093333333333334,0.5,-1.0,-1.0,1
712805,2593,14419,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
712806,3478,12694,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
706349,2359,2406,0.5,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
